v_code	v_name	v_addr	lat0	lng0
proxywin	 win entertainment centre wollongong  	corner harbour and crown streets   nsw	-34.426220	150.902150
level 2	@newtown rsl	petersham rsl club 52 enmore road newtown nsw	-33.898420	151.176480
med	1 two 3 mediterranean	shop 11 surf parade  broadbeach qld	-28.035530	153.432890
stk	1300smiles stadium townsville	golf links drive kirwan  townsville qld	-19.307480	146.713890
rus	170 russell	170 russell st  melbourne  vic	-37.811907	144.968272
mmr	2012 bmw magic millions race day	gold coast turf club racecourse drive bundall qld	-28.010860	153.407120
ahb	21 arms nightclub	21 armstrong street  north ballarat vic	-37.560550	143.856350
bbd	3 bears bar	cnr seymour blvd & caves road  dunsborough wa	-33.617590	115.107730
fhb	5th avenue beauty and day spa	suite 1 99 kedron brook rd wilston  qld	-27.432300	153.019850
aai	a & i hall	station street   bangalow nsw	-28.686150	153.524760
~wts~	a taste of south australia - wine tours	tours commence with a city hotel pick up  then transfer into the wine region.   sa	-34.973892	138.564177
mrs	aami park	melbourne & olympic parks olympic boulevard melbourne vic	-37.824580	144.988880
asa	aami stadium - adelaide	turner drive  west lakes sa	-34.879750	138.493580
x-asa	aami stadium - adelaide	turner drive  west lakes sa	-34.879750	138.493580
abs	abbotsford convent	1 st. heliers street  abbotsford  vic	-37.802170	145.003780
abp	abc perth studios	30 fielder st  east perth wa	-31.951680	115.873080
apm	abel point marina	(near the roundabout and red post box) shingley drive airlie beach qld	-20.263485	148.712454
aho	abercrombie house	311 ophir rd  bathurst nsw	-33.392609	149.518807
kqu	aboard the kimberley quest ii	pro-fisherman's boat ramp  quindalup wa	-33.613940	115.110719
awt	aboriginal walkabout tours	  blue mountains nsw	-33.650650	150.442830
acb	academy	bunda street  canberra city act	-35.279020	149.133250
adc	academy cinema	20 hindmarsh sq  adelaide sa	-34.923210	138.606350
aod	academy of design australia	220 ingles street  port melbourne vic	-37.828871	144.941085
vaccamelb	acca	111 sturt street southbank melbourne vic	-37.826700	144.966560
amc	ace cinemas midland	274 great eastern hwy  midland wa	-31.889818	116.008996
ace	ace cinemas subiaco	500 hay street  subiaco wa	-31.946960	115.822830
amt	ace motorcycle tours	free pick-up within 12kms of adelaide gpo  adelaide sa	-34.928730	138.599950
aps	acer arena	private suites corner edwin flack avenue and olympic boulevard sydney olympic park nsw	-33.847910	151.066720
rou	action paintball - rouse hill	290 -312 annangrove rd (cnr edwards rd) rouse hill nsw	-33.661080	150.923610
ser	action paintball - serpentine	128 punrak road  serpentine wa	-32.378840	115.921190
amg	activ8 health and sports centre	99 penola road  mount gambier sa	-37.817073	140.785448
afp	active flight paragliding bright	    bright vic	-36.730200	146.960900
spa	actt (the old performance space)	199 cleveland street  redfern nsw	-33.889410	151.203450
bonyathon 	adelaide	bonython park  adelaide sa	-34.915800	138.580650
agr	adelaide	goldrush ballooning  strathalbyn sa	-35.258880	138.890350
aaa	adelaide arena	44a crittenden rd  findon  sa	-34.900416	138.546052
coa	adelaide college of the arts	39 light square  adelaide  sa	-34.924360	138.592660
x-acc	adelaide convention centre	north terrace  adelaide sa	-34.921280	138.604160
acn	adelaide convention centre	 north terrace adelaide sa	-34.921280	138.604160
aec	adelaide entertainment centre	corner port road and adam street  hindmarsh sa	-34.909800	138.570810
aet	adelaide entertainment centre theatre	corner port road and adam street  hindmarsh sa	-34.909800	138.570810
ase	adelaide event & exhibition centre at the showground	goyder pavilion  wayville sa	-34.941810	138.592550
afc	adelaide festival centre	king william rd  adelaide sa	-34.916310	138.598940
x-afc	adelaide festival centre trust	king william rd  adelaide sa	-34.916310	138.598940
x-aff	adelaide film festival	12 king william rd  unley sa	-34.944800	138.599290
x-adf	adelaide fringe	1st floor ebenezer place (corner rundle street) adelaide sa	-34.922490	138.609330
agg	adelaide gaol ghost tour south australia	departs adelaide gaol 18 gaol rd  thebarton sa	-34.917770	138.584904
x-ado	adelaide oval	victor richardson rd  adelaide sa	-34.915140	138.598720
ado	adelaide oval	  north adelaide sa	-34.916869	138.596209
aom	adelaide oval marquee	  north adelaide sa	-34.906280	138.594160
asl	adelaide sailing club	9 barcoo road  west beach sa	-34.958486	138.509231
x-ash	adelaide showground	goodwood rd  wayville  sa	-34.945210	138.589180
ads	adelaide showground	goodwood road  wayville sa	-34.945051	138.587795
way	adelaide showgrounds	wayville pavilion   sa	-34.945860	138.586910
sdr	adelaide super drome	state sports park main north road gepps cross sa	-34.841670	138.605530
ats	adelaide tandem skydiving	po box 1041  golden grove sa	-34.792830	138.693640
x-ath	adelaide town hall	128 king william st  adelaide sa	-34.926120	138.600330
aub	adelaide uni bar	gate 10 level 5 union house victoria drive  adelaide sa	-34.918581	138.603616
aqp	adventure quest paintball skirmish	1200 singleton rd  kurrajong east nsw	-33.500140	150.809430
awp	adventure world	179 progress drive  bibra lake wa	-32.092690	115.820520
mfr	afl footy record voucher (redeem at mcg on match day)	yarra park jolimont melbourne vic	-37.818260	144.983468
arl	airlie beach	cnr. shute harbour rd & galbraith park drive   cannonvale qld	-20.291830	148.675330
ais	ais arena	australian institute of sport leverrier crescent bruce act	-35.242500	149.078270
aap	ais arena precinct	battye street  bruce act	-35.247830	149.101130
ako	akoonah park	2 cardinia street  berwick vic	-38.040464	145.364905
any	albany baptist church	bethel way   albany	-35.007987	117.881676
aco	albany centennial oval	lockyer ave   wa	-35.015420	117.885110
aln	albany creek tavern	730 albany creek rd  albany creek qld	-27.345940	152.966430
aew	albany entertainment centre	2 toll place (off princess royal drive)  albany wa	-35.029380	117.886640
apt	albany port theatre	princess royal drive  albany wa	-35.028169	117.885649
abh	albany town hall	white star hotel 217 york street albany wa	-35.011440	117.883873
acl	albert hall	corner of tamar & cimitiere streets  launceston tas	-41.432900	147.141490
ahc	albert hall	commonwealth ave  canberra act	-35.284700	149.128110
ahl	albert hall hotel grand chancellor	29 cameron street  launceston tas	-41.434241	147.140545
agp	albert park	lakeside dr  melbourne vic	-37.842250	144.971930
alp	albert park	monaco street  surfers paradise  qld	-28.017520	153.427600
x-agp	albert park	albert park  south melbourne vic	-37.841210	144.954070
asu	albert street uniting church	cnr of ann & albert st brisbane city brisbane qld	-27.467800	153.023790
abw	albert waterways	91 sunshine boulevard  mermaid waters qld	-28.036930	153.424720
awa	albert waterways community centre	corner hooker and sunshine boulevards  mermaid waters qld	-28.035203	153.424778
aly	albury - wodonga	lincon causeway  albury wodonga nsw	-36.090900	146.907660
abe	albury entertainment centre	swift street   albury nsw	-36.079270	146.921140
agl	albury gateway village	lincolin causeway  wadonga nsw	-36.106579	146.895767
alg	albury gateway village	lincolin causeway  wadonga nsw	-36.106579	146.895767
akw	albury kinross woolshed	5 kinross court  thurgoona   nsw	-36.037021	146.997806
alr	albury racecourse	fallon street  north albury nsw	-36.057500	146.929850
sga	albury sports ground	corner hume hwy & riverina hwy  albury nsw	-34.829830	148.961460
ass	albury sports stadium	229 north street albury vic	-37.777110	144.819200
abc	alex test	   nsw	NULL	NULL
111	alex test 2	1 testland done   nsw	NULL	NULL
lxt	alex theatre st. kilda	135 fitzroy st  st kilda vic	-37.859363	144.977806
mms	alex theatre st. kilda	135 fitzroy st  st kilda vic	-37.859363	144.977806
ale	alexandra hills hotel	cnr finucaine & mcdonald rds  alexandra hills qld	-27.523470	153.225890
alf	alfred street	alfred street (opposite the arena)  fortitude valley qld	-27.457490	153.033690
asp	alice springs	blatherskite park len kittle drive alice springs  nt	-23.700210	133.880610
alw	all saints' church	ocean street  woollahra nsw	-33.912300	151.269390
x-ase	all saints estate	all saints rd   wahgunyah vic	-36.003020	146.412770
sfs	allianz stadium	driver avenue  moore park nsw	-33.888573	151.225409
nrlprem	allianz stadium	driver avenue  moore park nsw	-33.888570	151.225410
agb	allphones arena function room	allphones arena corner edwin flack avenue and olympic boulevard sydney olympic park nsw	-33.847910	151.066720
alm	alma sports club	1 wilks street  caulfield north vic	-37.862770	145.014580
agt	altona homestead ghost tour	departs altona homestead logan reserve altona vic	-37.869470	144.830250
alc	altona sport & leisure centre  	cnr grieve parade and doherty's road  north altona vic	-37.834690	144.847430
amr	amamoor creek state forest park	amamoor creek road  amamoor qld	-26.348930	152.657720
chaaoa	ambassador of austria's residence	7 somers crescent  forrest act	-35.313800	149.122250
aut	ambassador of austria's residence	12 talbot street  forrest act	-35.313800	149.122250
arf	ambassador room frankston	325 nepean hwy  frankston vic	-38.133120	145.124660
abr	amber lounge	388 lonsdale st  melbourne vic	-37.812550	144.960970
amb	ambiwerra festival	erinvale street  corinda qld	-27.541370	152.987770
arw	american river wharf	kangaroo island    south australia	-35.775240	137.214240
amp	amp building	33 alfred street  sydney nsw	-33.861820	151.211580
acp	amplifier bar	393 murray street  perth  wa	-31.951440	115.854080
ana	ana hotel gold coast	22 view avenue  surfers paradise qld	-27.997820	153.429300
ane	anesi lounge	415b king georges road  beverly hills nsw	-33.949657	151.080809
ans	anita's theatre	264-270 lawrence hargrave drive  thirroul nsw	-34.314440	150.922820
x-ale	annie’s lane estate	quelltaler rd   watervale sa	-33.958690	138.647460
anu	anu bar	australian national university union building university avenue acton act	-35.276710	149.120040
znz	anz conservation theatre taronga zoo	bradleys head road  mosman nsw	-33.842830	151.244070
aus	anz stadium	edwin flack avenue  sydney olympic park nsw	-33.846424	151.067789
aoa	anzac oval alice springs	wills terrace  alice springs nt	-23.695730	133.884420
brt	anzac square	anne street  brisbane qld	-27.520370	153.219080
apx	apex oval	 cobra street  east dubbo nsw	-32.255740	148.619690
apr	appellation restaurant	375 seppeltsfield rd  marananga sa	-34.487187	138.948757
aqx	aquatic explorer's	40 the kingsway cronulla beach cronulla nsw	-34.055380	151.151590
arc	arana leagues club	247 dawson parade  kepera qld	-27.399570	152.961290
awy	aravina estate	61 thornton rd  yallingup wa	-33.701415	115.077479
ull	arcadia twin cinema	rowens arcade boree st   ulladulla nsw	-35.358960	150.472690
ard	ardc memberships	sydney motorsport park ferrers road eastern creek nsw	-33.805870	150.870080
x-are	arena joondalup	kennedya drive  joondalup wa	-31.736260	115.762150
ajp	arena joondalup	kennedya drive  joondalup  wa	-31.736260	115.762150
asd	armidale - armidale showground	dumaresq street  armidale nsw	-30.511160	151.664600
arm	armidale town hall	rusden st  armidale nsw	-30.513150	151.660050
aim	arms of australia inn museum	cnr great western hwy & gardenia ave  emu plains nsw	-33.750134	150.669268
gal	art gallery of nsw	art gallery road the domain sydney nsw	-33.869540	151.214880
agw	art gallery of western australia	perth cultural centre  perth wa	-31.964650	115.883790
agx	art gallery of western australia	perth cultural centre  perth wa	-31.964650	115.883790
agy	art gallery of western australia	perth cultural centre  perth wa	-31.952574	115.861049
mbb	art of massage & beauty	42 macpherson street  bronte nsw	-33.905500	151.258360
art	arthouse hotel	275 pitt st  sydney nsw	-33.872290	151.207890
asm	arthur streeton auditorium sofitel melbourne	25 collins street  melbourne vic	-37.813920	144.972780
tcd	artist cd	   nsw	-31.253220	146.921100
vcm	arts centre melbourne	anz pavilion 7th floor 100 st kilda road melbourne  vic	-37.821624	144.968856
atl	arts lecture theatre 4	uwa 35 stirling highway  crawley wa	-31.976792	115.816217
atm	arts lecture theatre 5	uwa 35 stirling highway  crawley wa	-31.976792	115.816217
atn	arts lecture theatre 6	uwa 35 stirling highway  crawley wa	-31.976792	115.816217
rab	ascot and belmont park racecourse	  perth wa	-31.938954	115.924065
pms	ascot racecourse	grandstand road  ascot wa	-31.937270	115.920513
asr	ascot racecourse	71 grandstand rd  ascot wa	-31.938954	115.924065
ath 	ashfield town hall	260 liverpool road  ashfield nsw	-33.888630	151.124440
ast	astor theatre	659 beaufort street   mount lawley wa	-31.934200	115.872270
x-ato	athaneum theatre	188 collins st  melbourne vic	-37.814830	144.967260
att	athenaeum theatre	188 collins street  melbourne vic	-37.814830	144.967260
cat	athenaeum theatre comedy club	188 collins street  melbourne vic	-37.814830	144.967260
aup	athenaeum theatre two	188 collins street  melbourne vic	-37.814830	144.967260
aha	atherton merriland hall	robert st   atherton qld	-17.269730	145.483370
athletic04	athletic centre	edwin flack avenue sydney olympic park sydney  nsw	-33.849320	151.062110
asw	atlantic south wharf	shed 7 south wharf road southbank vic	-37.823950	144.949710
auh	auchendarroch house	17 adelaide road  mount barker sa	-35.066910	138.857120
cva	auditorium - brisbane convention & exhibition centre	corner russell and grey streets southbank  qld	-27.476960	153.018887
aug	augusta marina	leeuwin rd augusta margaret river wa	-34.353122	115.168549
aur	aurora stadium	6 invermay rd  launceston tas	-41.425980	147.138930
x-aur	aurora stadium	6 invermay rd  launceston tas	NULL	NULL
mft	aussie rules footy tours	meet at batman's hill hotel for telstra dome games meet at riverland at federation square for mcg games melbourne vic	-37.813610	144.963060
obk	australia outback	pacific highway (between movieworld & wet n wild) oxenford qld	-22.755440	133.790850
azo	australia zoo	steve irwin way beerwah sunshine coast qld	-26.862930	152.962320
thg	australian botanic gardens	lakeside lawn mt. annan drive mt. annan mt. annan	-34.061761	150.767055
hgc	australian botanic gardens	clunies ross street  acton act	-35.278278	149.108927
acu	australian catholic university	40 edward street  north sydney nsw	-33.837180	151.203800
anb	australian centre for china in the world	building 188 fellows lane australian national university canberra act	-35.279860	149.125210
ach	australian centre for christianity & culture	corner of kings ave & blackall st  barton act	-35.306190	149.137240
acm	australian centre for the moving image	federation square corner swanston & flinders streets melbourne vic	-37.817361	144.969577
atb	australian day tours - croc express	   qld	-20.917570	142.702800
ect	australian equine and livestock event centre	new england highway  tamworth nsw	-31.098630	150.935640
teq	australian equine and livestock events centre (aelec)	australian equine and livestock events centre (aelec) 503 goonoo goonoo road tamworth nsw	-31.091090	150.930370
mgp	australian motorcycle grand prix	phillip island grand prix circuit back beach road cowes vic	-38.496690	145.251220
amu	australian museum	1 william street (corner college street)  sydney nsw	-33.874365	151.213159
amx	australian museum	1 william street (corner college street)  sydney nsw	-33.874299	151.213027
nmm	australian national maritime museum	2 murray st    darling harbour  nsw	-33.869881	151.198125
nmw	australian national maritime museum wharf	2 murray st  darling harbour  nsw	-33.869881	151.198125
chaanu	australian national university school of music	the band room childers street  acton act	-35.277330	149.118210
tbr	australian national university school of music	childers street  acton act	-35.279050	149.123850
auu	australian national university union court	union court anu potts point act	-35.277439	149.120454
aot	australian open membership	tennis australia   vic	-37.821670	144.978550
tpr	australian technology park - eveleigh	locomotive workshop  eveleigh nsw	-33.897340	151.195200
rgp	avalon raceway	210 old melbourne rd  lara vic	-38.013420	144.456660
x-avi	avica resort	crn gooding drive and boowaggan rd  merrimac qld	-28.043860	153.382250
ahs	avillion hotel	corner liverpool & pitt streets  sydney nsw	-33.877010	151.207380
avo	avoca beach theatre	69 avoca drive  avoca beach nsw	-33.471460	151.436470
abt	avoca beach theatre	69 avoca drive  avoca beach nsw	-33.471460	151.436470
ayu	ayurve beauty & wellness day spa	myer sydney city level 1 436 george street sydney nsw	-33.870840	151.206250
tfr	bacardi lounge @ the factory theatre	105 victoria rd  enmore nsw	-33.905820	151.165300
bcm	bacchus marsh community centre	213 main st  bacchus marsh vic	-37.676530	144.441050
bps	back page sports bar	carrara markets 1 market street  carrara qld	-28.005140	153.350750
bda	bairnsdale aquatic and recreation centre	mckean st  bairnsdale vic	-37.825490	147.607120
bge	balgownie estate	1309 melba hwy (cnr golf road)  yarra glen vic	-37.657210	145.374710
bew	ballandean estate winery	354 sundown road  ballandean qld	-28.813100	151.810310
bsg	ballarat - ballarat showgrounds	cnr creswick rd & howitt st  wendouree vic	-37.551830	143.851570
bal	ballina rsl	246 river street  ballina nsw	-28.868640	153.555900
blo	balloon aloft	13 lakeview drive  carrara qld	-27.999050	153.361420
blf	balloon aloft	7 irving street  phillip act	-35.335293	149.084101
x-bal	ballymore	clyde road  herston qld	-27.444920	153.016430
bly	ballymore	clyde road  herston qld	-27.444920	153.016430
mus	balmain leagues club	138-152 victoria road  rozelle nsw	-33.863560	151.169290
ban	bangarra studio	pier 4/5 hickson road the rocks sydney nsw	-33.856330	151.208640
bcp	bankstown - carysfield park	johnson st  bankstown nsw	-33.917290	151.035880
bax	bankstown airport	flr1/ airport ave  bankstown nsw	-33.917290	151.035880
bds	bankstown district & sports club	8 greenfield parade  bankstown nsw	-33.919570	151.033050
dru	bankstown memorial oval	chapel road  bankstown nsw	-33.912020	151.035060
bsh	bankstown town hall	corner rickard & chapel roads  bankstown nsw	-33.914690	151.036840
bte	bar 388	the valley hotel  388-394 brunswick st  fortitude valley qld	-27.459450	153.036260
nub	bar on the hill	newcastle university callaghan drive callaghan newcastle nsw	-32.897000	151.700560
~brn~	barangaroo	gate 4 hickson rd millers point sydney nsw	-33.856010	151.206530
brw	barbagallo raceway	wattle ave  (off old yanchep road)  neerabup wa	-31.669890	115.807160
bnc	barcode nightclub	22 albert street   broadbeach qld	-28.028330	153.431750
bcv	bardon conference venue	390 simpsons rd  bardon  qld	-27.462930	152.969740
bba	barista basics coffee academy	   national	-33.869930	151.207450
brr	barleigh ranch raceway	off italia road pacific highway 12km north of raymond terrace nsw	-32.762100	151.743160
bcn	barleycorn brewers	388 huntingdale road  oakleigh south vic	-37.916930	145.102680
bpk	barlow park	cnr scott and severin streets  parramatta park qld	-16.921876	145.761757
bka	baroque - katoomba	66 main st  katoomba nsw	-33.712440	150.311740
btp	bartlett park arena	kelso drive  kelso qld	-19.411302	146.725061
barwon	barwon club	509 moorabool street  geelong vic	-38.162880	144.353780
bhh	barwon heads hotel	1 bridge road  barwon heads vic	-38.282470	144.492360
btv	batavia marina geraldton	wiebbe hayes lane   wa	-28.768240	114.611250
bbb	batemans bay bowling club	3 vesper st  batemans bay nsw	-35.709600	150.174870
bbs	batemans bay soldiers club	beach rd  batemans bay nsw	-35.720590	150.190550
pff	bathers beach house	perth fashion festival 47 mews road fremantle wa	-32.057870	115.742280
bbp	bathers beach house	47 mews road  fremantle wa	-32.058057	115.742247
lep	bathurst - learmonth park	  bathurst nsw	-33.417650	149.581030
chb	bathurst city hall	william st  bathurst nsw	-33.420250	149.577490
bme	bathurst memorial entertainment centre	105 william street  bathurst nsw	-33.419100	149.578790
bmh	bathurst memorial entertainment centre city hall	105 william st  bathurst  nsw	-33.419100	149.578790
bap	bathurst panthers	132 -134 piper st  bathurst nsw	-33.421100	149.574030
bsl	bathurst rsl club	114 rankin street   bathurst  nsw	-33.431208	149.541194
bfi	batman fawkner inn	35-39 cameron st  launceston tas	-41.434040	147.139928
boh	bayview boulevard hotel	90 william street  sydney nsw	-33.874290	151.216630
bvb	bayview boulevard sydney	25th floor restaurant 90 william street sydney nsw	-33.873650	151.206890
bhb	beach hotel byron bay	bay street  byron bay  nsw	-28.640970	153.612670
bdh	beaudesert town hall	brisbane street  beaudesert qld	-27.981680	152.994900
bft 	beaufort	  beaufort vic	-37.429250	143.383750
bpg	beckley park geelong	princes hwy  corio vic	-38.073920	144.370550
beb	beechboro bosnian centre	289 beechboro road north  beechboro wa	-31.890758	115.923834
bgs	bega - bega showgrounds	upper street  bega nsw	-36.676800	149.841390
brg	bega recreational ground	princess hwy  bega nsw	-36.685040	149.837060
bcd	belconnen community centre	174 swanson court belconnen canberra act	-35.239180	149.069040
bti	bell tower inn	balanada room 1845 sturt street ballarat vic	-37.546680	143.796990
bef	bella vista farm	elizabeth macarthur dr  bella vista nsw	-33.742186	150.951525
bvv	bella vista vessel - harbour cruise sydney	   nsw	-31.253220	146.921100
pcb	bellevue ballroom 1 - perth convention and exhibition centre	21 mounts bay road  perth wa	-31.956080	115.853220
cip	belmont park racecourse	victoria park drive  burswood wa	-31.946410	115.890219
bse	belmont park racecourse	  victoria park drive burswood wa	-31.938954	115.924065
bem	belmore sports ground	3 edison lane  belmore  nsw	-33.916634	151.094703
byr	belongil fields	394 ewingsdale road  byron bay nsw	-28.640620	153.590280
~bva~	belvoir amphitheatre	1177 great northern hwy upper swan   wa	-31.789040	116.022810
bvf	belvoir function centre	1177 great northern highway  upper swan  wa	-31.789040	116.022810
bel	belvoir st theatre	25 belvoir st surry hills sydney nsw	-33.888910	151.209120
x-bel	belvoir valley ampitheatre	1155 great northern hwy  upper swan wa	-31.789280	116.022760
bth	benalla town hall	nunn st  benalla vic	-36.551500	145.981700
bgb	bendigo	goldrush ballooning  bendigo vic	-36.758710	144.283750
bmu	bendigo 2004 commonwealth youth games	  bendigo vic	-36.758710	144.283750
baq	bendigo aquatic centre	barnard street  bendigo vic	-36.755490	144.273760
bbt	bendigo badminton & table tennis stadium	victoria street (off california gully road)  eaglehawk vic	-36.726030	144.244400
bkf	bendigo kangaroo flat leisure centre	browning st  kangaroo flat vic	-36.787100	144.238640
blb	bendigo lawn bowls club	barnard street  bendigo vic	-36.755490	144.273760
bra	bendigo regional athletics facility	retreat road  spring gully vic	-36.793040	144.287830
brs	bendigo rsl club	73-75 havilah rd  bendigo vic	-36.739180	144.269920
ben	bendigo showground	holmes rd  bendigo vic	-36.738990	144.270220
bsc	bendigo stadium	marong road  bendigo vic	-36.757770	144.258950
bnd	bentinck	8 carlisle street  woodend vic	-37.347700	144.536250
ber	bermagui country club	tuross st  bermagui nsw	-36.427840	150.073330
bcc	berowra community centre	the gully road  berowra nsw	-33.617880	151.155530
btl	berri resort hotel	riverview dr  berri sa	-34.286652	140.604701
bev	beverley race track	  beverley wa	-32.108660	116.925830
bfe	beyond fear	   perth wa	-31.952850	115.857340
bic	bicentennial community centre	bicentennial drive (off ben lexcon dve) sunshine beach noosa qld	-26.406170	153.110150
bit	bicentennial park tamworth	kable ave  tamworth nsw	-31.093735	150.929680
x-bie	biennale of sydney	43-51 cowper wharf rd  woolloomooloo nsw	-33.869420	151.220730
biw	big hill winery bendigo	calder hwy  bendigo vic	-36.757694	144.256618
bpc	big pineapple complex	76 nambour connection road  woombye qld	-26.669819	152.992771
bmf	big red bash music festival	the big red dune 35k west of birdsville birdsville qld	-25.879040	139.053146
bbn	billboard the venue	170 russell street  melbourne vic	-37.811920	144.967860
bib	bille brown studio	78 montague road  south brisbane qld	-27.471960	153.014120
bil	billy beach house hotel	  surfers paradise qld	-28.001170	153.428320
btb	billy tea bush safaris	po box 77n  north cairns qld	-16.923400	145.773850
bim	bimbadgen estate	lot 21 mcdonalds road pokolbin  hunter valley nsw	-32.776230	151.301270
x-bim	bimbadgen estate	lot 21 mcdonalds road pokolbin  hunter valley nsw	-32.776230	151.301270
x-bbe	bimbagden estate	790 mcdonalds rd   pokolbin nsw	-32.745170	151.314890
spm	birch carroll & coyle - sunshine plaza cinemas 	sunshine plaza shopping centre   sunseeker pde   maroochydore  qld	-26.654300	153.089420
cfh	birch carroll & coyle cinema - coffs harbour	crn bray st & pacific hwy  coffs harbour nsw	-30.281900	153.126210
tbb	bird’s basement	11 singers lane  melbourne vic	-37.811243	144.956588
bkp	birkenhead point ferry wharf	  drummoyne nsw	-33.851150	151.154380
bbf	bishop's farm	tenthill creek road  gatton qld	-27.581270	152.260170
bjc	bivouac junction campground	flinders highway  macrossan queensland qld	-19.983640	146.435340
bbx	black box theatre	244 parry street  newcastle nsw	-32.923470	151.753240
bla	blacktown arts centre	78 flushcombe road  blacktown nsw	-33.772650	150.908530
arb	blacktown olympic park	eastern road  rooty hill  nsw	-33.773030	150.855410
blk	blacktown rsl	2nd avenue  blacktown nsw	-33.766800	150.910720
bwc	blacktown workers club	55 campbell street  blacktown nsw	-33.773090	150.908660
bld	blade - melbourne museum	11 nicholson st in front of the melbourne museum carlton vic	-37.803657	144.972326
geb	blakiston theatre @ gpac	50 little malop street  geelong vic	-38.147540	144.356440
blp	blatherskite park	len kittle drive  alice springs nt	-23.736600	133.863730
blr	bliss retreats	blackheaths  blue mountains nsw	-33.593190	150.535640
bfc	blue fire cruises	ground level shop 31-3 marina mirage seaworld drive main beach surfers paradise qld	-28.001170	153.428320
brm	blue room theatre	53 james street  northbridge perth wa	-31.949540	115.859890
cts	bluetongue stadium (formerly central coast stadium)	dane drive  gosford nsw	-33.430140	151.339000
tbo	blundstone arena	15 derwent street bellerive  tas	-42.877700	147.373540
bmw	bmw edge federation square	federation square  corner swanston & flinders sts melbourne vic	-42.350530	147.736040
bfh	boardwalk at fishingboat harbour	mews road  fremantle wa	-32.059200	115.746090
rhb	bobby mcgee's	186 exhibition st  melbourne vic	-37.811242	144.970479
bmg	bobby mcgees niteclub	rydges hotels 186 exhibition street melbourne vic	-37.811280	144.970430
hem	bohemia cabaret club	226-228 coventry street  south melbourne vic	-37.831510	144.961500
bhs	boiler shop honeysuckle workshops	merewether st  newcastle nsw	-32.925990	151.773090
brk	bombay rock	710 flinders st  townsville qld	-19.268300	146.807440
bop	bondi park	campbell parade   bondi beach nsw	-33.889770	151.279920
bon	bondi pavilion	queen elizabeth drive (off campbell parade) bondi beach sydney nsw	-33.889770	151.279920
bpm	boneo park mornington	312 boneo road  boneo vic	-38.389684	144.888268
bgr	bong bong racecourse bowral	kangaloon road bowral  nsw	-34.493380	150.423900
cda	bonython park - adelaide	bonython park  adelaide sa	-34.915800	138.580650
bof	boranup forest	caves rd  karridale wa	-34.175460	115.080480
bdn	borden pavilion	stone st  borden wa	-34.072306	118.262185
brd	bordertown showgrounds	58-60 naracoorte rd  bordertown sa	-36.316970	140.772330
bor	borenore field days site	      nsw	-31.253220	146.921100
btk	botanic park	plane tree drive  adelaide south australia	-34.914500	138.610701
boa	botanical gardens	north terrace  adelaide sa	-34.921280	138.604160
bup	bourgie upstairs	397 little londsdale street  melbourne vic	-37.811810	144.960200
hbw	boutique wine tours	hunter valley  hunter valley nsw	-32.460350	150.767920
bmb	bowen high school - mckenna hall	1-9 argyle park rd  bowen  qld	-19.993960	148.236300
bow	bowman hall	civic centre campbell street blacktown nsw	-33.771920	150.909330
bmt	bradman theatrette	31 constitution avenue national convention centre canberra act	-35.283988	149.133990
brb	bribie island hotel	29 sylvan beach esplanade  bribie island qld	-26.986100	153.132520
bco	brighton concert hall	305 brighton road  north brighton sa	-35.003090	138.520800
bbk	brimbank - adj shopping centre	station road  brimbank vic	-37.752220	144.776560
mga	brisbane - mt glorious and historic esk	   qld	-20.917570	142.702800
cib	brisbane airport	no. 1 airport drive  brisbane airport qld	-27.414970	153.079580
x-brc	brisbane city council	brisbane square 266 george street brisbane qld	-27.470840	153.022710
bch	brisbane city hall	king george sq 64 adelaide st brisbane qld	-27.468970	153.023480
qld	brisbane city hall	king george sq 64 adelaide st brisbane qld	-27.468989	153.023523
cvn	brisbane convention & exhibition centre	corner merivale and glenelg streets southbank  qld	-20.917570	142.702800
bce	brisbane convention & exhibition centre	corner merivale and glenelg streets  southbank qld	-20.917570	142.702800
bec	brisbane entertainment centre	melaleuca drive  boondall qld	-27.344380	153.070080
baustidol	brisbane entertainment centre	melaleuca drive boondall brisbane qld	-27.344380	153.070080
bbryaprox	brisbane entertainment centre 	melaleuca drive  boondall qld	-27.344380	153.070080
bfv	brisbane five in one	  brisbane qld	-27.470930	153.023500
bis	brisbane international speedway	 63 colebard street west archerfield  qld	-27.577370	153.000410
bpw	brisbane powerhouse	119 lamington street  new farm qld	-27.468190	153.053340
rst	brisbane riverstage	city botanic gardens alice street brisbane qld	-27.470930	153.023500
x-rst	brisbane riverstage	city botanic gardens alice street brisbane qld	-27.470930	153.023500
rna	brisbane showgrounds	gregory terrace  bowen hills qld qld	-27.451180	153.032120
brisbst	brisbane stadium	castlemaine street  milton qld	-27.464840	153.009510
bsm	brisbane stadium milton	40 castlemaine st  milton     qld	-27.465700	153.010340
bci	broadford circuit	   vic	-37.471310	144.785150
broadwater	broadwater parklands gold coast	marine parade  southport qld	NULL	NULL
btm	brolga theatre & convention centre	5 walker street  maryborough  qld	-25.534380	152.706040
brc	broncos leagues club	fulcher road red hill brisbane  qld	-27.449610	152.995640
bee	brookleigh estate	1235 great northern highway   upper swan wa	-31.785485	116.018758
bro	brookvale oval	pittwater road  brookvale nsw	-33.763800	151.271500
