sub,state,postcode
deer park,VIC,3023
deer park east,VIC,3022
deer park north,VIC,3023
deer vale,NSW,2453
deeragun,QLD,4818
deeral,QLD,4871
degilbo,QLD,4621
delacombe,VIC,3356
delahey,VIC,3037
delamere,SA,5204
delan,QLD,4671
delaneys creek,QLD,4514
delatite,VIC,3723
delburn,VIC,3871
delegate,NSW,2633
delegate river,VIC,3888
delissaville,NT,0822
deloraine,TAS,7304
delungra,NSW,2403
denbarker,WA,6324
dendy,VIC,3186
denham,WA,6537
denham court,NSW,2565
denhams beach,NSW,2536
denial bay,SA,5690
denicull creek,VIC,3377
deniliquin,NSW,2710
denison,VIC,3858
denistone,NSW,2114
denistone east,NSW,2112
denistone west,NSW,2114
denman,NSW,2328
denman prospect,ACT,2611
denmark,WA,6333
dennes point,TAS,7150
dennington,VIC,3280
denver,VIC,3461
depot beach,NSW,2536
depot hill,QLD,4700
deptford,VIC,3875
derby,WA,6728
derby,TAS,7264
derby,VIC,3516
dereel,VIC,3352
dergholm,VIC,3312
dernancourt,SA,5075
derri derra,QLD,4626
derrimut,VIC,3030
derrinal,VIC,3523
derrinallum,VIC,3325
derriwong,NSW,2877
derrymore,QLD,4352
derwent bridge,TAS,7140
derwent park,TAS,7009
desailly,QLD,4871
desert springs,NT,0870
detention,TAS,7321
deua,NSW,2537
deua river valley,NSW,2537
deuchar,QLD,4362
devenish,VIC,3726
devereux creek,QLD,4753
devils creek,WA,6630
devils hole,NSW,2550
devils river,VIC,3714
deviot,TAS,7275
devlins pound,SA,5330
devon hills,TAS,7300
devon meadows,VIC,3977
devon north,VIC,3971
devon park,QLD,4401
devon park,SA,5008
devonport,TAS,7310
dewars pool,WA,6567
dewhurst,VIC,3808
dewitt,NSW,2422
dharruk,NSW,2770
dhuragoon,NSW,2733
dhurringile,VIC,3610
diamantina lakes,QLD,4735
diamond beach,NSW,2430
diamond creek,VIC,3089
diamond head,NSW,2443
diamond tree,WA,6258
diamond valley,QLD,4553
diamondvale,QLD,4380
dianella,WA,6059
dickson,ACT,2602
dicky beach,QLD,4551
didcot,QLD,4621
diddillibah,QLD,4559
diehard,NSW,2370
digby,VIC,3309
diggers camp,NSW,2462
diggers rest,VIC,3427
diggora,VIC,3561
diglum,QLD,4680
dignams creek,NSW,2546
dilkoon,NSW,2460
dilpurra,NSW,2734
dilston,TAS,7252
dimboola,VIC,3414
dimbulah,QLD,4872
dindiloa,WA,6532
dingabledinga,SA,5172
dingee,VIC,3571
dingley village,VIC,3172
dingo,QLD,4702
dingo beach,QLD,4800
dingo forest,NSW,2429
dingup,WA,6258
dingwall,VIC,3579
dinmore,QLD,4303
dinner plain,VIC,3898
dinninup,WA,6244
dinoga,NSW,2404
direk,SA,5110
dirk hartog island,WA,6537
dirnaseer,NSW,2666
dirnbir,QLD,4625
dirranbandi,QLD,4486
dirty creek,NSW,2456
dismal swamp,SA,5291
district section b,VIC,3549
district section c,VIC,3549
district section d,VIC,3549
district section e,VIC,3549
districts,SA,5417
dittmer,QLD,4800
diwan,QLD,4873
dixalea,QLD,4702
dixie,QLD,4892
dixie,VIC,3265
dixons creek,VIC,3775
dixvale,WA,6258
djiru,QLD,4852
djuan,QLD,4352
djugun,WA,6725
dobie,VIC,3377
dobies bight,NSW,2470
docker,VIC,3678
dockers plains,VIC,3678
docklands,VIC,3008
docklands,VIC,8012
doctor creek,QLD,4352
doctors flat,VIC,3895
doctors gap,NSW,2790
doctors point,TAS,7304
doctors rocks,TAS,7325
dodges ferry,TAS,7173
dog rocks,NSW,2795
dolans bay,NSW,2229
dollar,VIC,3871
dolls point,NSW,2219
dollys flat,NSW,2429
dolphin heads,QLD,4740
dolphin point,NSW,2539
dolphin sands,TAS,7190
dombarton,NSW,2530
domville,QLD,4357
don,TAS,7310
don valley,VIC,3139
donald,VIC,3480
donald creek,NSW,2350
doncaster,VIC,3108
doncaster east,VIC,3109
doncaster heights,VIC,3109
dondingalong,NSW,2440
dongara,WA,6525
dongolocking,WA,6315
donnelly river,WA,6258
donnellyville,NSW,2447
donnybrook,WA,6239
donnybrook,VIC,3064
donnybrook,QLD,4510
donovans,SA,5291
donvale,VIC,3111
dooboobetic,VIC,3478
doodenanning,WA,6383
doodlakine,WA,6411
dooen,VIC,3401
dookie,VIC,3646
dookie college,VIC,3647
doolandella,QLD,4077
doolbi,QLD,4660
doomadgee,QLD,4830
doon doon,NSW,2484
doonan,QLD,4562
doonbah,NSW,2473
doongul,QLD,4620
doonside,NSW,2767
dooralong,NSW,2259
dora creek,NSW,2264
doreen,VIC,3754
dorodong,VIC,3312
dorre island,WA,6701
dorrigo,NSW,2453
dorrigo mountain,NSW,2453
dorroughby,NSW,2480
dorset vale,SA,5157
double bay,NSW,1360
double bay,NSW,2028
double bridges,VIC,3893
doubleview,WA,6018
doubtful creek,NSW,2470
doughboy,QLD,4671
douglas,QLD,4354
douglas,VIC,3409
douglas,QLD,4814
douglas park,NSW,2569
douglas point,SA,5601
douglas point south,SA,5601
douglas river,TAS,7215
dover,TAS,7117
dover gardens,SA,5048
dover heights,NSW,2030
doveton,VIC,3177
dowerin,WA,6461
dowlingville,SA,5571
downer,ACT,2602
downlands,TAS,7320
downsfield,QLD,4570
downside,NSW,2650
dows creek,QLD,4754
dowsing point,TAS,7010
doyalson,NSW,2262
doyalson north,NSW,2262
doyles creek,NSW,2330
doyles river,NSW,2446
drake,NSW,2469
drake village,NSW,2469
draper,QLD,4520
drayton,QLD,4350
drayton north,QLD,4350
dreeite,VIC,3249
dreeite south,VIC,3249
drewvale,QLD,4116
driffield,VIC,3840
drik drik,VIC,3304
drildool,NSW,2386
drillham,QLD,4424
drillham south,QLD,4424
drinan,QLD,4671
dripstone,NSW,2820
driver,NT,0830
dromana,VIC,3936
drome,WA,6330
dromedary,QLD,4718
dromedary,TAS,7030
dropmore,VIC,3660
drouin,VIC,3818
drouin east,VIC,3818
drouin south,VIC,3818
drouin west,VIC,3818
drumanure,VIC,3636
drumborg,VIC,3304
drumcondra,VIC,3215
drummartin,VIC,3570
drummond,VIC,3461
drummond cove,WA,6532
drummond north,VIC,3446
drummondslope,QLD,4724
drummoyne,NSW,2047
drummoyne,NSW,1470
drung,VIC,3401
dry creek,NSW,2337
dry creek,SA,5094
dry diggings,VIC,3461
dry plain,NSW,2630
dryandra,WA,6311
drysdale,VIC,3222
drysdale river,WA,6740
duaringa,QLD,4712
dubbo,NSW,2830
dubbo east,NSW,2830
dubbo grove,NSW,2830
dubbo west,NSW,2830
dublin,SA,5501
duchembegarra,VIC,3409
duchess,QLD,4825
duck creek,NSW,2469
duck ponds,SA,5607
duckenfield,NSW,2321
duckinwilla,QLD,4650
ducklo,QLD,4405
duckmaloi,NSW,2787
dudawa,WA,6519
dudinin,WA,6363
dudley,NSW,2290
dudley east,SA,5222
dudley park,WA,6210
dudley park,SA,5008
dudley west,SA,5222
duffy,ACT,2611
duffys forest,NSW,2084
dugandan,QLD,4310
duingal,QLD,4671
dukin,WA,6475
dulacca,QLD,4425
dulbelling,WA,6383
dulcot,TAS,7025
dulguigan,NSW,2484
dulong,QLD,4560
dululu,QLD,4702
dulwich,SA,5065
dulwich hill,NSW,2203
dulyalbin,WA,6425
dum dum,NSW,2484
dumaresq,NSW,2350
dumaresq island,NSW,2430
dumaresq valley,NSW,2372
dumbalk,VIC,3956
dumbalk north,VIC,3956
dumbarton,WA,6566
dumberning,WA,6312
dumbleton,QLD,4740
dumbleyung,WA,6350
dumbudgery,NSW,2460
dumgree,QLD,4715
dumosa,VIC,3527
dumpy creek,QLD,4702
dunach,VIC,3371
dunalley,TAS,7177
dunbible,NSW,2484
dunbogan,NSW,2443
duncan,SA,5223
duncans creek,NSW,2340
duncraig,WA,6023
dundarrah,QLD,4625
dundas,NSW,2117
dundas,QLD,4306
dundas,WA,6443
dundas valley,NSW,2117
dundathu,QLD,4650
dundee,NSW,2370
dundee beach,NT,0840
dundonnell,VIC,3271
dundowran,QLD,4655
dundowran beach,QLD,4655
dundula,QLD,4740
dundurrabin,NSW,2453
dunearn,VIC,3175
dunedoo,NSW,2844
dungarubba,NSW,2480
dungay,NSW,2484
dungeree,NSW,2849
dungog,NSW,2420
dungowan,NSW,2340
dunkeld,NSW,2795
dunkeld,VIC,3294
dunkeld,QLD,4465
dunlop,ACT,2615
dunluce,VIC,3472
dunmora,QLD,4650
dunmore,NSW,2529
dunmore,QLD,4407
dunn rock,WA,6355
dunneworthy,VIC,3377
dunnrock,QLD,4740
dunnstown,VIC,3352
dunolly,NSW,2330
dunolly,VIC,3472
dunoon,NSW,2480
dunorlan,TAS,7304
dunrobin,VIC,3312
dunrobin,QLD,4728
duns creek,NSW,2321
dunsborough,WA,6281
dunville loop,NSW,2849
dunwich,QLD,4183
durack,NT,0830
durack,QLD,4077
durack,WA,6743
dural,NSW,2330
dural,NSW,2158
duramana,NSW,2795
duranbah,NSW,2487
duranillin,WA,6393
durawah,WA,6532
durdidwarrah,VIC,3342
durham downs,QLD,4454
durham lead,VIC,3352
durham ox,VIC,3576
duri,NSW,2344
duroby,NSW,2486
durong,QLD,4610
durran durra,NSW,2622
durras north,NSW,2536
durren durren,NSW,2259
dutson,VIC,3851
dutson downs,VIC,3851
dutton,SA,5356
dutton east,SA,5356
dutton park,QLD,4102
dutton way,VIC,3305
duval,NSW,2350
duverney,VIC,3323
dwarda,WA,6308
dwellingup,WA,6213
dyers crossing,NSW,2429
dykehead,QLD,4626
dynnyrne,TAS,7005
dyraaba,NSW,2470
dyrring,NSW,2330
dysart,TAS,7030
dysart,QLD,4745
eagle bay,WA,6281
eagle farm,QLD,4009
eagle heights,QLD,4271
eagle point,VIC,3878
eagle vale,NSW,2558
eagleby,QLD,4207
eaglefield,QLD,4742
eaglehawk,VIC,3556
eaglehawk neck,TAS,7179
eaglehawk north,VIC,3556
eaglemont,VIC,3084
eagleton,NSW,2324
earlston,VIC,3669
earlville,QLD,4870
earlwood,NSW,2206
east albury,NSW,2640
east augusta,WA,6290
east bairnsdale,VIC,3875
east ballidu,WA,6606
east ballina,NSW,2478
east barron,QLD,4883
east bendigo,VIC,3550
east beverley,WA,6304
east bowes,WA,6535
east bowral,NSW,2576
east branxton,NSW,2335
east brisbane,QLD,4169
east bunbury,WA,6230
east cam,TAS,7321
east cannington,WA,6107
east carnarvon,WA,6701
east chapman,WA,6532
east cooyar,QLD,4353
east coraki,NSW,2471
east corrimal,NSW,2518
east damboring,WA,6608
east deep creek,QLD,4570
east devonport,TAS,7310
east end,QLD,4695
east fremantle,WA,6158
east geelong,VIC,3219
east gosford,NSW,2250
east greenmount,QLD,4359
east gresford,NSW,2311
east haldon,QLD,4343
east hills,NSW,2213
east innisfail,QLD,4860
east ipswich,QLD,4305
east jindabyne,NSW,2627
east kangaloon,NSW,2576
east kempsey,NSW,2440
east killara,NSW,2071
east kurrajong,NSW,2758
east launceston,TAS,7250
east lindfield,NSW,2070
east lismore,NSW,2480
east lynne,NSW,2536
east lyons river,WA,6705
east mackay,QLD,4740
east maitland,NSW,2323
east melbourne,VIC,3002
east melbourne,VIC,8002
east moonta,SA,5558
east munglinup,WA,6450
east murchison,WA,6640
east nabawa,WA,6532
east nanango,QLD,4615
east nannup,WA,6275
east newdegate,WA,6355
east palmerston,QLD,4860
east perth,WA,6004
east perth,WA,6892
east pingelly,WA,6308
east point,NT,0820
east popanyinning,WA,6309
east ridgley,TAS,7321
east rockingham,WA,6168
east russell,QLD,4861
east ryde,NSW,2113
east sale,VIC,3852
east seaham,NSW,2324
east side,NT,0870
east tamworth,NSW,2340
east toowoomba,QLD,4350
east trinity,QLD,4871
east victoria park,WA,6101
east victoria park,WA,6981
east wagga wagga,NSW,2650
east wangaratta,VIC,3678
east warburton,VIC,3799
east wardell,NSW,2477
east wickepin,WA,6370
east yuna,WA,6532
eastbrook,WA,6260
eastern creek,NSW,2766
eastern heights,QLD,4305
eastern suburbs mc,NSW,2004
eastern view,VIC,3231
eastgardens,NSW,2036
eastlakes,NSW,2018
eastville,VIC,3463
eastwood,NSW,2122
eastwood,SA,5063
eastwood,VIC,3875
eaton,NT,0820
eaton,QLD,4860
eaton,WA,6232
eatons hill,QLD,4037
eatonsville,NSW,2460
eba,SA,5320
eba anchorage,SA,5680
ebbw vale,QLD,4304
ebden,VIC,3691
ebenezer,SA,5355
ebenezer,NSW,2756
ebenezer,QLD,4340
ebor,NSW,2453
eccleston,NSW,2311
echuca,VIC,3564
echuca south,VIC,3564
echuca village,VIC,3564
echuca west,VIC,3564
echunga,SA,5153
ecklin south,VIC,3265
edderton,NSW,2333
eddington,VIC,3472
eddystone,TAS,7264
eden,NSW,2551
eden creek,NSW,2474
eden hill,WA,6054
eden hills,SA,5050
eden park,VIC,3757
eden valley,SA,5235
edenhope,VIC,3318
edens landing,QLD,4207
edensor park,NSW,2176
edenville,NSW,2474
edgcumbe beach,TAS,7321
edge hill,QLD,4870
edgecliff,NSW,2027
edgecombe,VIC,3444
edgeroi,NSW,2390
edgewater,WA,6027
edgeworth,NSW,2285
edi,VIC,3678
edi upper,VIC,3678
edillilie,SA,5630
edinburgh,SA,5111
edinburgh north,SA,5113
edinburgh raaf,SA,5111
edith,NSW,2787
edith creek,TAS,7330
edithburgh,SA,5583
edithvale,VIC,3196
edmondson park,NSW,2174
edmonton,QLD,4869
edrom,NSW,2551
edward river,QLD,4892
edwardstown,SA,5039
eenaweena,NSW,2824
eerwah vale,QLD,4562
eganstown,VIC,3461
eganu,WA,6515
egg lagoon,TAS,7256
eggs and bacon bay,TAS,7112
eglinton,NSW,2795
eglinton,WA,6034
egypt,QLD,4344
eidsvold,QLD,4627
eidsvold east,QLD,4627
eidsvold west,QLD,4627
eight mile creek,QLD,4807
eight mile creek,SA,5291
eight mile plains,QLD,4113
eighteen mile,NSW,2460
eighty mile beach,WA,6725
eildon,VIC,3713
eimeo,QLD,4740
einasleigh,QLD,4871
el arish,QLD,4855
elabbin,WA,6490
elachbutting,WA,6479
elaine,VIC,3334
elaman creek,QLD,4552
elands,NSW,2429
elanora,QLD,4221
elanora heights,NSW,2101
elbow valley,QLD,4370
elcombe,NSW,2404
elderslie,TAS,7030
elderslie,NSW,2570
elderslie,NSW,2335
eldorado,VIC,3746
electra,QLD,4670
electrona,TAS,7054
eleebana,NSW,2282
elermore vale,NSW,2287
elevated plains,VIC,3461
elgin,QLD,4721
elgin,WA,6237
elgin vale,QLD,4615
eli waters,QLD,4655
elimbah,QLD,4516
elingamite,VIC,3266
elingamite north,VIC,3266
elizabeth,SA,5112
elizabeth bay,NSW,2011
elizabeth beach,NSW,2428
elizabeth downs,SA,5113
elizabeth east,SA,5112
elizabeth grove,SA,5112
elizabeth hills,NSW,2171
elizabeth island,VIC,3921
elizabeth north,SA,5113
elizabeth park,SA,5113
elizabeth south,SA,5112
elizabeth town,TAS,7304
elizabeth vale,SA,5112
elizabeth west dc,SA,5113
ellalong,NSW,2325
elland,NSW,2460
ellangowan,NSW,2470
ellangowan,QLD,4361
ellaswood,VIC,3875
elleker,WA,6330
ellen grove,QLD,4078
ellenborough,NSW,2446
ellenbrook,WA,6069
ellendale,WA,6532
ellendale,TAS,7140
ellerslie,NSW,2648
ellerslie,NSW,2729
ellerslie,VIC,3265
ellerston,NSW,2337
ellesmere,QLD,4610
elliminyt,VIC,3250
ellinbank,VIC,3821
ellinjaa,QLD,4886
ellinthorp,QLD,4362
elliott,NT,0862
elliott,QLD,4670
elliott,TAS,7325
elliott heads,QLD,4670
ellis beach,QLD,4879
ellis lane,NSW,2570
elliston,SA,5670
elmhurst,VIC,3469
elmore,VIC,3558
elong elong,NSW,2831
elphinstone,VIC,3448
elphinstone,QLD,4361
elphinstone,QLD,4742
elrington,NSW,2325
elsmore,NSW,2360
elsternwick,VIC,3185
eltham,NSW,2480
eltham,VIC,3095
eltham north,VIC,3095
elvina bay,NSW,2105
elwomple,SA,5260
elwood,VIC,3184
embleton,WA,6062
emerald,QLD,4720
emerald,VIC,3782
emerald beach,NSW,2456
emerald hill,NSW,2380
emerton,NSW,2770
emita,TAS,7255
emmaville,NSW,2371
empire bay,NSW,2257
empire vale,NSW,2478
emu,VIC,3475
emu bay,SA,5223
emu creek,QLD,4355
emu creek,VIC,3551
emu downs,SA,5381
emu flat,WA,6431
emu flat,SA,5453
emu heights,NSW,2750
emu heights,TAS,7320
emu park,QLD,4710
emu plains,NSW,2750
emu point,WA,6330
emu swamp,NSW,2800
emu vale,QLD,4371
emungalan,NT,0850
encounter bay,SA,5211
endeavour hills,VIC,3802
endrick,NSW,2622
eneabba,WA,6518
enfield,VIC,3352
enfield,SA,5085
enfield,NSW,2136
enfield plaza,SA,5085
enfield south,NSW,2133
engadine,NSW,2233
england creek,QLD,4306
englefield,VIC,3407
englorie park,NSW,2560
enmore,NSW,2350
enmore,NSW,2042
enngonia,NSW,2840
ennuin,WA,6484
enochs point,VIC,3723
enoggera,QLD,4051
enoggera reservoir,QLD,4520
ensay,VIC,3895
ensay north,VIC,3895
environa,NSW,2620
eppalock,VIC,3551
epping,VIC,3076
epping,NSW,2121
epping,NSW,1710
epping forest,TAS,7211
epsom,VIC,3551
epsom,QLD,4741
eradu,WA,6532
eradu south,WA,6532
erakala,QLD,4740
eraring,NSW,2264
ercildoune,VIC,3352
eremerang,NSW,2877
erica,VIC,3825
erigolia,NSW,2669
erin vale,NSW,2663
erina,NSW,2250
erina fair,NSW,2250
erina heights,NSW,2260
erindale,SA,5066
erindale centre,ACT,2903
erith,SA,5461
ermington,NSW,1700
ermington,NSW,2115
ernabella,SA,0872
ernestina,QLD,4730
eromanga,QLD,4480
erowal bay,NSW,2540
erriba,TAS,7310
errinundra,VIC,3889
errowanbang,NSW,2791
erskine,WA,6210
erskine,SA,5422
erskine park,NSW,2759
erskineville,NSW,2043
erub,QLD,4875
erudgere,NSW,2850
eschol park,NSW,2558
esk,QLD,4312
esk,NSW,2472
eskdale,QLD,4312
eskdale,VIC,3701
esmond,VIC,3730
esperance,WA,6450
essendon,VIC,3040
essendon fields,VIC,3041
essendon north,VIC,3041
essendon west,VIC,3040
essington,NSW,2787
estate,WA,6714
estella,NSW,2650
estrees bay,SA,5223
ethelton,SA,5015
etmilyn,WA,6213
etna creek,QLD,4702
eton,QLD,4741
ettalong beach,NSW,2257
ettamogah,NSW,2640
ettrema,NSW,2540
ettrick,NSW,2474
ettrick,SA,5253
etty bay,QLD,4858
euabalong,NSW,2877
euabalong west,NSW,2877
eubenangee,QLD,4860
euberta,NSW,2650
euchareena,NSW,2866
eucla,WA,6443
eucumbene,NSW,2628
eudlo,QLD,4554
eudunda,SA,5374
eugenana,TAS,7310
eugowra,NSW,2806
eukey,QLD,4380
eulah creek,NSW,2390
euleilah,QLD,4674
eulo,QLD,4491
eumamurrin,QLD,4455
eumemmerring,VIC,3177
eumundi,QLD,4562
eumungerie,NSW,2822
eunanoreenya,NSW,2650
eungai creek,NSW,2441
eungai rail,NSW,2441
eungella,QLD,4757
eungella,NSW,2484
eungella dam,QLD,4757
eungella hinterland,QLD,4741
eurack,VIC,3251
euramo,QLD,4854
eurardy,WA,6532
eureka,VIC,3350
eureka,NSW,2480
eureka,QLD,4660
eurelia,SA,5431
eurimbla,NSW,2867
eurimbula,QLD,4677
euroa,VIC,3666
eurobin,VIC,3739
eurobodalla,NSW,2545
euroka,NSW,2440
euroley,NSW,2700
euromina,SA,5454
eurong,QLD,4581
eurongilly,NSW,2663
eurunderee,NSW,2850
euston,NSW,2737
euthulla,QLD,4455
evandale,SA,5069
evandale,TAS,7212
evans head,NSW,2473
evans landing,QLD,4874
evans plains,NSW,2795
evansford,VIC,3371
evanslea,QLD,4356
evanston,SA,5116
evanston gardens,SA,5116
evanston park,SA,5116
evanston south,SA,5116
evatt,ACT,2617
eveleigh,NSW,2015
evelyn,QLD,4888
everard central,SA,5461
everard park,SA,5035
evergreen,QLD,4352
eversley,VIC,3377
everton,VIC,3678
everton hills,QLD,4053
everton park,QLD,4053
everton upper,VIC,3678
eviron,NSW,2484
ewingar,NSW,2469
ewingsdale,NSW,2481
ewlyamartup,WA,6317
exeter,TAS,7275
exeter,SA,5019
exeter,NSW,2579
exford,VIC,3338
exmouth,WA,6707
exmouth gulf,WA,6707
export park,SA,5950
exton,TAS,7303
eynesbury,VIC,3338
fadden,ACT,2904
failford,NSW,2430
fair,QLD,4350
fairbank,VIC,3951
fairbridge,WA,6208
fairdale,QLD,4606
fairfield,VIC,3078
fairfield,NSW,2165
fairfield,QLD,4103
fairfield,NSW,1860
fairfield east,NSW,2165
fairfield gardens,QLD,4103
fairfield heights,NSW,2165
fairfield west,NSW,2165
fairhaven,VIC,3231
fairholme,NSW,2871
fairley,VIC,3579
fairlight,NSW,2094
fairney view,QLD,4306
fairview park,SA,5126
fairy bower,QLD,4700
fairy dell,VIC,3875
fairy dell,VIC,3561
fairy hill,NSW,2470
fairy meadow,NSW,2519
fairymead,QLD,4670
falbrook,NSW,2330
falcon,WA,6210
falconer,NSW,2365
falls creek,VIC,3699
falls creek,NSW,2540
falmouth,TAS,7215
false bay,SA,5601
fannie bay,NT,0820
far meadow,NSW,2535
faraday,VIC,3451
fargunyah,NSW,2656
farina,SA,5733
farleigh,QLD,4741
farley,NSW,2320
farm beach,SA,5607
farmborough heights,NSW,2526
farnborough,QLD,4703
farnham,NSW,2820
farnsfield,QLD,4660
farrants hill,NSW,2484
farrar,NT,0830
farrell flat,SA,5416
farrer,ACT,2607
farringdon,NSW,2622
fassifern,QLD,4309
fassifern,NSW,2283
fassifern valley,QLD,4309
faulconbridge,NSW,2776
faulkland,NSW,2422
fawcett,VIC,3714
fawcetts plain,NSW,2474
fawkner,VIC,3060
federal,QLD,4568
federal,NSW,2480
felixstow,SA,5070
felton,QLD,4358
felton south,QLD,4358
feluga,QLD,4854
fennell bay,NSW,2283
fentonbury,TAS,7140
fentons creek,VIC,3518
ferguson,WA,6236
ferguson,VIC,3237
fern bay,NSW,2295
fern gully,NSW,2330
fern hill,VIC,3458
fern tree,TAS,7054
fernances,NSW,2775
fernances crossing,NSW,2325
fernbank,VIC,3864
fernbank creek,NSW,2444
fernbrook,NSW,2453
ferndale,WA,6148
ferndale,VIC,3821
ferney,QLD,4650
fernhill,NSW,2519
fernihurst,VIC,3518
fernleigh,NSW,2479
fernmount,NSW,2454
fernshaw,VIC,3778
fernside,NSW,2480
ferntree gully,VIC,3156
fernvale,QLD,4306
fernvale,NSW,2484
ferny creek,VIC,3786
ferny glen,QLD,4275
ferny grove,QLD,4055
ferny hills,QLD,4055
ferny hills dc,QLD,4055
ferodale,NSW,2318
ferryden park,SA,5010
feysville,WA,6431
ficks crossing,QLD,4606
fiddletown,NSW,2159
field,SA,5265
fiery flat,VIC,3518
fifield,NSW,2875
fifteen mile,QLD,4352
fig tree pocket,QLD,4069
figtree,NSW,2525
fimiston,WA,6432
finch hatton,QLD,4756
findon,SA,5023
findon creek,NSW,2474
fine flower,NSW,2460
fingal,TAS,7214
fingal,VIC,3939
fingal bay,NSW,2315
fingal head,NSW,2487
finke,NT,0872
finlayvale,QLD,4873
finley,NSW,2713
finnie,QLD,4350
finniss,SA,5255
finucane,WA,6722
firefly,NSW,2429
firle,SA,5070
fischer,SA,5502
fish creek,VIC,3959
fish point,VIC,3585
fisher,ACT,2611
fisher,QLD,4825
fisher,SA,5354
fisherman bay,SA,5522
fishermans bay,NSW,2316
fishermans paradise,NSW,2539
fishermans pocket,QLD,4570
fishermans reach,NSW,2441
fishers hill,NSW,2421
fishery falls,QLD,4871
fishing point,NSW,2283
fiskville,VIC,3342
fitzgerald,WA,6337
fitzgerald,TAS,7140
fitzgerald bay,SA,5601
fitzgerald creek,QLD,4860
fitzgeralds mount,NSW,2799
fitzgeralds valley,NSW,2795
fitzgibbon,QLD,4018
fitzroy,SA,5082
fitzroy,VIC,3065
fitzroy crossing,WA,6765
fitzroy falls,NSW,2577
fitzroy north,VIC,3068
five dock,NSW,2046
five miles,SA,5238
five ways,NSW,2873
flaggy creek,VIC,3875
flagstaff,VIC,3465
flagstaff hill,SA,5159
flagstone,QLD,4280
flagstone creek,QLD,4344
flametree,QLD,4802
flamingo beach,VIC,3851
flat tops,NSW,2420
flaxley,SA,5153
flaxman valley,SA,5235
flaxton,QLD,4560
flemington,VIC,3031
fletcher,NSW,2287
fletcher creek,QLD,4714
fleurbaix,QLD,4375
flinders,NSW,2529
flinders,VIC,3929
flinders chase,SA,5223
flinders lakes,QLD,4285
flinders lane,VIC,8009
flinders park,SA,5025
flinders university,SA,5042
flinders view,QLD,4305
flint,WA,6302
flinton,QLD,4422
flintstone,TAS,7030
flora hill,VIC,3550
floraville,NSW,2280
floreat,WA,6014
florentine,TAS,7140
florey,ACT,2615
flowerdale,VIC,3717
flowerdale,TAS,7325
flowerpot,TAS,7163
flowery gully,TAS,7270
flying fish point,QLD,4860
flying fox,QLD,4275
flynn,ACT,2615
flynn,WA,6302
flynn,VIC,3844
flynn,NT,0875
flynns creek,VIC,3844
footscray,VIC,3011
forbes,VIC,3764
forbes,NSW,2871
forbes creek,NSW,2621
forbes river,NSW,2446
forbesdale,NSW,2422
forces,NSW,2890
forcett,TAS,7173
forde,ACT,2914
fords,SA,5373
fords bridge,NSW,2840
fordsdale,QLD,4343
fordwich,NSW,2330
foreshores,QLD,4678
forest,TAS,7330
forest creek,QLD,4873
forest glen,QLD,4556
forest glen,NSW,2157
forest grove,NSW,2795
forest grove,WA,6286
forest hill,NSW,2651
forest hill,VIC,3131
forest hill,QLD,4342
forest hill,WA,6324
forest lake,QLD,4078
forest land,NSW,2372
forest lodge,NSW,2037
forest range,SA,5139
forest reefs,NSW,2798
forest ridge,QLD,4357
forestdale,QLD,4118
forester,TAS,7260
forestvale,QLD,4465
forestville,NSW,2087
forestville,SA,5035
forge creek,VIC,3875
formartin,QLD,4404
forrest,WA,6434
forrest,VIC,3236
forrest,ACT,2603
forrest beach,WA,6271
forrest beach,QLD,4850
forrestania,WA,6359
forrestdale,WA,6112
forresters beach,NSW,2260
forrestfield,WA,6058
forreston,SA,5233
forsayth,QLD,4871
forster,NSW,2428
forster,SA,5238
fortescue,TAS,7182
fortescue,WA,6716
forth,TAS,7310
forthside,TAS,7310
fortis creek,NSW,2460
fortitude valley,QLD,4006
fortitude valley bc,QLD,4006
foster,VIC,3960
foster north,VIC,3960
fosters valley,NSW,2795
fosterton,NSW,2420
fosterville,VIC,3557
foul bay,SA,5577
foulden,QLD,4740
fountain,SA,5607
fountain gate,VIC,3805
fountaindale,NSW,2258
four corners,NSW,2716
four mile creek,NSW,2800
four mile creek,NSW,2323
four mile creek,TAS,7215
fowlers bay,SA,5690
fowlers gap,NSW,2880
fox,SA,5272
foxdale,QLD,4800
foxground,NSW,2534
foxhow,VIC,3323
frahns,SA,5238
framlingham,VIC,3265
framlingham east,VIC,3265
frances,SA,5262
frankfield,QLD,4721
frankford,TAS,7275
frankland river,WA,6396
franklin,ACT,2913
franklin,TAS,7113
franklinford,VIC,3461
franklyn,SA,5421
frankston,VIC,3199
frankston east,VIC,3199
frankston heights,VIC,3199
frankston north,VIC,3200
frankston south,VIC,3199
frankton,SA,5374
fraser,ACT,2615
fraser island,QLD,4581
fraser range,WA,6443
frayville,SA,5238
frazer park,NSW,2259
frazers creek,NSW,2446
frazerview,QLD,4309
fredericksfield,QLD,4806
frederickton,NSW,2440
freeburgh,VIC,3741
freeburn island,NSW,2464
freeling,SA,5372
freemans,NSW,2259
freemans reach,NSW,2756
freemans waterhole,NSW,2323
freemantle,NSW,2795
freestone,QLD,4370
fremantle,WA,6160
fremantle,WA,6959
french island,VIC,3921
french park,NSW,2655
frenches creek,QLD,4310
frenchman bay,WA,6330
frenchmans,VIC,3384
frenchs forest,NSW,1640
frenchs forest,NSW,2086
